Name,masterpc,Latitude,Longitude
S34000128,DD1 4DE,56.458627,-2.9660828
S34000129,DD1 4EH,56.458474,-2.9730078
S34000130,DD1 1ND,56.461673,-2.9763353
S34000131,DD1 1LY,56.462147,-2.9755036
S34000132,DD1 1QP,56.460326,-2.9773718
S34000133,DD1 1HU,56.462938,-2.973122
S34000134,DD1 1EQ,56.463492,-2.9701662
S34000135,DD1 3BA,56.460615,-2.9692166
S34000136,DD1 3AH,56.459711,-2.9688041
S34000137,DD2 3PZ,56.48025,-3.010389
S34000138,DD4 7RX,56.474831,-2.925374
S34000139,DD4 8LF,56.479551,-2.9248395
S34000140,DD5 3RR,56.483426,-2.8900881
S34000141,DD5 3RU,56.48691,-2.8891142
S34000142,DD1 5HX,56.45924,-2.9874859
S34000143,DD1 1RL,56.461267,-2.971992
S34000144,DD1 1LW,56.462126,-2.9712674
S34000145,DD1 1LX,56.461557,-2.9750827
S34000146,DD1 1UF,56.460093,-2.9716536
S34000147,DD1 1QN,56.458382,-2.9744496
S34000148,DD1 4HQ,56.456639,-2.9812687
S34000149,DD1 4HW,56.458698,-2.9787904
S34000150,DD1 4JE,56.45683,-2.9854925
S34000151,DD1 4QB,56.456174,-2.9787092
S34000152,KA1 1HU,55.610738,-4.4979459
S34000153,KA1 1QR,55.606193,-4.4978156
S34000154,KA1 1LR,55.610166,-4.496004
S34000155,KA1 1NP,55.608837,-4.49638
S34000156,KA1 2BT,55.608056,-4.5016656
S34000157,KA1 2DJ,55.608402,-4.504514
S34000158,KA1 2AD,55.609203,-4.5026914
S34000159,KA1 4BS,55.601485,-4.5003581
S34000160,KA1 4DA,55.598539,-4.502012
S34000161,KA3 7AS,55.610126,-4.4900149
S34000162,KA2 0BD,55.613192,-4.5351678
S34000163,KA1 4AT,55.602308,-4.496108
S34000164,KA1 1EA,55.608399,-4.4989245
S34000165,KA1 1BD,55.608664,-4.4991478
S34000166,KA1 1HN,55.609663,-4.4986556
S34000167,G66 1XJ,55.935249,-4.1558325
S34000168,EH33 1EX,55.944341,-2.8961088
S34000169,EH41 3AE,55.95516,-2.7825524
S34000170,EH21 7UQ,55.936596,-3.0601091
S34000171,EH21 7PQ,55.938433,-3.059615
S34000172,G78 1SW,55.801943,-4.3895126
S34000173,G77 6EZ,55.773055,-4.3329883
S34000174,EH12 9SB,55.935163,-3.3350866
S34000175,EH12 9DN,55.948427,-3.364432
S34000176,EH28 8NB,55.940682,-3.3684184
S34000177,EH16 4SY,55.925658,-3.1408698
S34000178,EH1 1RB,55.949322,-3.189719
S34000179,EH1 2EN,55.947482,-3.2042824
S34000180,EH1 2DH,55.948506,-3.2071006
S34000181,EH1 2BW,55.949022,-3.2094386
S34000182,EH1 2EP,55.949052,-3.2063489
S34000183,EH1 1PT,55.950029,-3.1918545
S34000184,EH1 2NG,55.948763,-3.1991979
S34000185,EH1 3DQ,55.955264,-3.1913107
S34000186,EH1 3AY,55.954736,-3.1901413
S34000187,EH1 3SQ,55.9554,-3.1884159
S34000188,EH1 3BG,55.953789,-3.187758
S34000189,EH1 3AJ,55.956589,-3.1843361
S34000190,EH1 3RJ,55.958063,-3.1889621
S34000191,EH2 2PR,55.95309,-3.1959364
S34000192,EH2 2LR,55.952969,-3.1991357
S34000193,EH2 2BY,55.952938,-3.1930169
S34000194,EH2 2AN,55.953258,-3.1905764
S34000195,EH2 2JG,55.953429,-3.1997906
S34000196,EH2 2DF,55.952424,-3.1959479
S34000197,EH2 2AD,55.954639,-3.191836
S34000198,EH2 2PA,55.954132,-3.1958725
S34000199,EH2 2LE,55.953088,-3.1979863
S34000200,EH2 2ER,55.952086,-3.1983718
S34000201,EH2 3AA,55.951683,-3.2010498
S34000202,EH2 3JG,55.951771,-3.2022056
S34000203,EH2 3NH,55.954063,-3.2020844
S34000204,EH2 3ES,55.952856,-3.2024314
S34000205,EH2 3BG,55.953107,-3.2034001
S34000206,EH2 3DN,55.952141,-3.2029057
S34000207,EH2 4DJ,55.951935,-3.2093052
S34000208,EH2 4BL,55.950611,-3.2068618
S34000209,EH2 4RT,55.949736,-3.2099413
S34000210,EH2 4QG,55.950648,-3.2103541
S34000211,EH2 4RA,55.950708,-3.2088666
S34000212,EH3 7RN,55.951369,-3.2147166
S34000213,EH3 7QG,55.951098,-3.2130746
S34000214,EH3 7NF,55.949548,-3.2126258
S34000215,EH3 7BJ,55.950186,-3.2117169
S34000216,EH3 7HX,55.950276,-3.2143941
S34000217,EH3 7AL,55.949099,-3.2116509
S34000218,EH3 8JB,55.9468,-3.2133565
S34000219,EH3 8HA,55.948106,-3.2112516
S34000220,EH3 9RU,55.942326,-3.212368
S34000221,EH3 9BN,55.944445,-3.2051809
S34000222,EH3 9EG,55.944102,-3.195211
S34000223,EH3 9SU,55.946706,-3.2064841
S34000224,EH4 2HU,55.959283,-3.2267377
S34000225,EH5 1QE,55.97703,-3.2446229
S34000226,EH5 1QF,55.980668,-3.2509101
S34000227,EH5 2DJ,55.96957,-3.2277522
S34000228,EH6 7LG,55.968711,-3.145357
S34000229,EH6 7DR,55.982375,-3.1638238
S34000230,EH6 7LA,55.972567,-3.155774
S34000231,EH6 7DP,55.974804,-3.1539178
S34000232,EH9 1LL,55.939043,-3.1887474
S34000233,EH9 3JF,55.923218,-3.1748523
S34000234,EH12 9DJ,55.932762,-3.3168518
S34000235,EH11 4DF,55.925442,-3.3055926
S34000236,EH11 4DT,55.926208,-3.3010891
S34000237,EH11 4DG,55.923024,-3.3022466
S34000238,EH11 4EP,55.923496,-3.2992378
S34000239,EH12 9DQ,55.933916,-3.3088871
S34000240,EH11 4HD,55.923452,-3.2914587
S34000241,EH11 4BW,55.923134,-3.2883915
S34000242,EH11 4EX,55.925223,-3.2939503
S34000243,EH12 5BH,55.945188,-3.2209599
S34000244,EH12 9EB,55.93077,-3.3005057
S34000245,EH12 9ED,55.932621,-3.3013521
S34000246,EH14 1DW,55.915576,-3.2394527
S34000247,EH14 1RL,55.925901,-3.2500731
S34000248,EH15 1ED,55.961214,-3.1262016
S34000249,EH15 1DF,55.955146,-3.119603
S34000250,EH15 3RH,55.932286,-3.1087313
S34000251,EH15 3RD,55.934847,-3.1047065
S34000252,EH16 5BH,55.940277,-3.1743282
S34000253,EH28 8QJ,55.935804,-3.3963896
S34000254,EH28 8PJ,55.932822,-3.4120336
S34000255,EH28 8PL,55.938537,-3.3962638
S34000256,EH28 8LF,55.929394,-3.4100202
S34000257,EH16 4TJ,55.920913,-3.1400263
S34000258,EH4 3EY,55.954198,-3.2293956
S34000259,EH1 2QB,55.947668,-3.1925186
S34000260,EH1 3QN,55.95708,-3.1911743
S34000261,EH2 1AF,55.955079,-3.1936754
S34000262,EH2 1JX,55.954501,-3.1995675
S34000263,EH2 1DF,55.954615,-3.1961596
S34000264,EH2 1EL,55.95387,-3.1979144
S34000265,EH2 1EP,55.953559,-3.2003391
S34000266,EH2 4AD,55.950987,-3.2042151
S34000267,EH2 4AS,55.951124,-3.2058368
S34000268,EH2 4JS,55.952366,-3.2056833
S34000269,EH2 4LH,55.952093,-3.2041374
S34000270,EH2 4NA,55.953541,-3.2049671
S34000271,EH3 8BU,55.945643,-3.2094774
S34000272,EH3 8BH,55.945601,-3.2064177
S34000273,EH3 9QG,55.943207,-3.2078003
S34000274,EH3 9EW,55.943537,-3.1969549
S34000275,EH6 6JJ,55.981442,-3.17697
S34000276,EH8 8AU,55.950478,-3.1779039
S34000277,EH8 9JU,55.94409,-3.1872208
S34000278,EH8 9AD,55.945068,-3.1872988
S34000279,EH8 9JZ,55.94457,-3.1886446
S34000280,EH12 9JR,55.93854,-3.3143102
S34000281,EH1 1BL,55.951154,-3.1907681
S34000282,EH1 1SB,55.9508,-3.1873782
S34000283,FK2 0XS,55.995724,-3.7215526
S34000284,FK3 9UY,56.001352,-3.7032325
S34000285,FK3 9UT,56.016555,-3.7026665
S34000286,FK1 1HG,55.998406,-3.7863274
S34000287,FK1 1ES,55.999623,-3.7866882
S34000288,FK1 1LW,56.003774,-3.7799033
S34000289,FK1 1HU,56.000978,-3.7861735
S34000290,FK1 1JQ,56.000799,-3.7854756
S34000291,FK1 1NJ,55.999493,-3.7838278
S34000292,FK1 1SS,55.99832,-3.7666958
S34000293,FK1 1XT,55.993612,-3.7565722
S34000294,FK2 9FJ,56.010185,-3.7771024
S34000295,FK3 8YE,56.01217,-3.7526825
S34000296,FK2 9HQ,56.009305,-3.7645507
S34000297,FK3 8EB,56.019043,-3.7311899
S34000298,FK3 9XB,56.007148,-3.7045461
S34000299,FK1 4HR,56.005435,-3.8266843
S34000300,FK3 8XP,56.01159,-3.746721
S34000301,FK3 8YF,56.007605,-3.7381044
S34000302,FK3 8XG,56.013297,-3.739098
S34000303,FK5 4RX,56.031351,-3.8339432
S34000304,EH51 9SH,56.016959,-3.5833569
S34000305,FK10 4PN,56.065882,-3.6953313
S34000306,KY11 9YX,56.041236,-3.357497
S34000307,KY11 9JH,56.04402,-3.3510611
S34000308,KY11 9JE,56.04507,-3.3462496
S34000309,KY11 9JQ,56.042616,-3.3528742
S34000310,KY11 2UU,56.027674,-3.4324243
S34000311,KY11 2WX,56.026399,-3.4400472
S34000312,KY11 2EA,56.029865,-3.4464028
S34000313,KY11 2YB,56.025711,-3.4419792
S34000314,KY11 8PU,56.055754,-3.4447384
S34000315,KY12 7SH,56.064447,-3.4581542
S34000316,KY12 7SL,56.062568,-3.4597857
S34000317,KY12 7PT,56.069664,-3.4600058
S34000318,KY12 7DR,56.071235,-3.4600974
S34000319,KY12 7JT,56.071091,-3.4563167
S34000320,KY12 7QU,56.072392,-3.4595788
S34000321,KY12 7AU,56.074025,-3.4559614
S34000322,KY1 1EY,56.112542,-3.1632478
S34000323,KY1 1NB,56.108802,-3.1596134
S34000324,KY1 1JA,56.111111,-3.1587019
S34000325,KY1 1JT,56.111441,-3.1570716
S34000326,KY1 1NU,56.109894,-3.1581347
S34000327,KY1 1HX,56.110151,-3.1594289
S34000328,KY2 6QL,56.13536,-3.1993531
S34000329,KY6 2DA,56.189343,-3.1844722
S34000330,KY7 4PA,56.187829,-3.1458673
S34000331,KY7 4NS,56.185032,-3.1451878
S34000332,KY7 4NT,56.186465,-3.1427009
S34000333,KY7 5LH,56.195894,-3.1702177
S34000334,KY7 5QF,56.197836,-3.160526
S34000335,KY7 5NU,56.195806,-3.1737768
S34000336,KY7 5PS,56.198337,-3.1731449
S34000337,KY7 5PQ,56.196923,-3.1781947
S34000338,KY7 5NW,56.196572,-3.170738
S34000339,KY7 5PP,56.19735,-3.1720833
S34000340,KY15 4SX,56.323996,-2.9884538
S34000341,KY16 9SR,56.339626,-2.8093329
S34000342,KY16 9DW,56.338343,-2.8077367
S34000343,KY16 9UH,56.339717,-2.7967497
S34000344,KY11 8SS,56.079685,-3.4056238
S34000345,KY1 3NB,56.137304,-3.1420947
S34000346,KY1 3NQ,56.136078,-3.1454375
S34000347,KY1 3NF,56.137617,-3.1394005
S34000348,KY1 3NJ,56.139495,-3.1393274
S34000349,KY6 2RD,56.183996,-3.1845491
S34000350,KY6 2SE,56.178576,-3.1838344
S34000351,KY5 0UJ,56.179788,-3.2098566
S34000352,KY6 2PJ,56.186758,-3.1888718
S34000353,KY6 2RX,56.182005,-3.2073326
S34000354,KY6 2SB,56.176798,-3.2004197
S34000355,KY7 4UA,56.180222,-3.1502802
S34000356,KY7 6JG,56.178814,-3.142248
S34000357,KY7 6PF,56.204944,-3.1633844
S34000358,KY11 8GR,56.048546,-3.4279157
S34000359,KY11 8PT,56.053316,-3.4357353
S34000360,KY11 8UU,56.049084,-3.4325917
S34000361,KY11 8FX,56.048441,-3.4182946
S34000362,KY16 9NR,56.33992,-2.7944084
S34000363,G1 1NU,55.858326,-4.2453519
S34000364,G3 7LW,55.866688,-4.2778966
S34000365,G3 7QF,55.866997,-4.273823
S34000366,G3 7LD,55.866146,-4.2794952
S34000367,G1 4RU,55.856982,-4.2657275
S34000368,G2 7BZ,55.86103,-4.2625594
S34000369,G2 7JS,55.861744,-4.2638314
S34000370,G4 0RD,55.863214,-4.2379948
S34000371,G32 8NB,55.827748,-4.1724407
S34000372,G32 8EX,55.833935,-4.1762831
S34000373,G32 8LP,55.838637,-4.1716586
S34000374,G40 2UZ,55.851945,-4.2190852
S34000375,G40 2AA,55.851573,-4.2227546
S34000376,G46 8JH,55.803171,-4.3259816
S34000377,G46 8QQ,55.801434,-4.3242025
S34000378,G51 3RE,55.856658,-4.3216515
S34000379,G51 3HE,55.860753,-4.3127388
S34000380,G2 3ER,55.864749,-4.259755
S34000381,G3 6RB,55.86544,-4.2612496
S34000382,G2 3DH,55.865149,-4.2580042
S34000383,G3 6RG,55.865798,-4.2628047
S34000384,G41 1HU,55.852755,-4.2794777
S34000385,G51 2JA,55.857444,-4.3104648
S34000386,G51 2YX,55.852709,-4.3069882
S34000387,G1 2BS,55.861991,-4.248408
S34000388,G2 1BP,55.86204,-4.2531093
S34000389,G2 1DR,55.861973,-4.251811
S34000390,G1 2FF,55.862977,-4.2524604
S34000391,G2 6JA,55.859486,-4.2610154
S34000392,G1 2SD,55.863394,-4.2547539
S34000393,G2 1RW,55.863148,-4.2548836
S34000394,G2 2HG,55.862665,-4.2572527
S34000395,G2 1PS,55.862371,-4.2556216
S34000396,G2 5EA,55.861382,-4.2580892
S34000397,G2 4QE,55.862796,-4.2623425
S34000398,G2 6HQ,55.860663,-4.2610518
S34000399,G2 5UB,55.861618,-4.255514
S34000400,G2 6NL,55.860853,-4.2599762
S34000401,G1 3SQ,55.859295,-4.2581918
S34000402,G1 3QQ,55.860267,-4.2566502
S34000403,G2 7AH,55.861182,-4.2665315
S34000404,G1 2JA,55.860939,-4.254324
S34000405,G2 5RU,55.862967,-4.2671948
S34000406,G2 2UQ,55.862327,-4.2585116
S34000407,G2 7JZ,55.861166,-4.2625193
S34000408,G2 6LU,55.861318,-4.2591083
S34000409,G2 4LL,55.86355,-4.2648475
S34000410,G2 6HS,55.860218,-4.2612817
S34000411,G1 2NP,55.861642,-4.2547163
S34000412,G1 3SL,55.860396,-4.2574407
S34000413,G1 2PS,55.861092,-4.2557552
S34000414,G2 5SG,55.862252,-4.2606168
S34000415,G2 4EU,55.862703,-4.2644466
S34000416,G2 4AD,55.86404,-4.2626385
S34000417,G2 5ER,55.861733,-4.2570868
S34000418,G2 5LA,55.861869,-4.258501
S34000419,G1 2PR,55.860737,-4.2560222
S34000420,G2 1BT,55.862399,-4.254073
S34000421,G2 4TT,55.863426,-4.2612924
S34000422,G2 4HG,55.864798,-4.2624429
S34000423,G2 2RQ,55.86371,-4.2600143
S34000424,G1 2NG,55.864085,-4.2532917
S34000425,G2 2QZ,55.86333,-4.2572274
S34000426,G1 2RL,55.865896,-4.2540679
S34000427,G2 4TB,55.864602,-4.2609132
S34000428,G2 2BA,55.863141,-4.2587028
S34000429,G2 3AT,55.864201,-4.2548487
S34000430,G2 4TZ,55.864065,-4.2602906
